seed,weight_decay,N,selected_proxy_reward_mean,selected_true_utility_mean,selected_spurious_utility_mean,oracle_best_true_utility_mean,random_candidate_true_utility_mean,proxy_minus_true_gap
90003,1e-05,256,4.562404155731201,0.10217472910881042,11.627311706542969,2.858572244644165,-0.0029408144764602184,4.460229396820068
90003,0.0001,1,2.625685930252075,-0.0029408112168312073,1.968938946723938,-0.0029408112168312073,-0.0029408144764602184,2.628626823425293
90003,0.0001,4,4.2241010665893555,0.0370640829205513,4.095303058624268,1.022051215171814,-0.0029408144764602184,4.187036991119385
90003,0.0001,16,4.5525617599487305,0.09502846747636795,6.563938140869141,1.7613469362258911,-0.0029408144764602184,4.457533359527588
90003,0.0001,64,4.562900066375732,0.1059664636850357,9.332362174987793,2.355470895767212,-0.0029408144764602184,4.456933498382568
90003,0.0001,256,4.563066005706787,0.09929138422012329,11.695184707641602,2.858572244644165,-0.0029408144764602184,4.463774681091309
90003,0.001,1,2.6347784996032715,-0.0029408112168312073,1.968938946723938,-0.0029408112168312073,-0.0029408144764602184,2.6377193927764893
90003,0.001,4,4.225444793701172,0.033620916306972504,4.0980610847473145,1.022051215171814,-0.0029408144764602184,4.191823959350586
90003,0.001,16,4.548816680908203,0.09180930256843567,6.571739673614502,1.7613469362258911,-0.0029408144764602184,4.45700740814209
90003,0.001,64,4.558699131011963,0.10843034088611603,9.36838150024414,2.355470895767212,-0.0029408144764602184,4.450268745422363
90003,0.001,256,4.558855056762695,0.09402589499950409,11.923383712768555,2.858572244644165,-0.0029408144764602184,4.464828968048096
90003,0.01,1,2.625593900680542,-0.0029408112168312073,1.968938946723938,-0.0029408112168312073,-0.0029408144764602184,2.6285347938537598
90003,0.01,4,4.200321674346924,0.03316960483789444,4.097290515899658,1.022051215171814,-0.0029408144764602184,4.167151927947998
90003,0.01,16,4.515909671783447,0.08994105458259583,6.573482990264893,1.7613469362258911,-0.0029408144764602184,4.425968647003174
90003,0.01,64,4.525406360626221,0.10912072658538818,9.367897033691406,2.355470895767212,-0.0029408144764602184,4.416285514831543
90003,0.01,256,4.525557518005371,0.10436104238033295,11.935742378234863,2.858572244644165,-0.0029408144764602184,4.421196460723877
90003,0.1,1,2.5011448860168457,-0.0029408112168312073,1.968938946723938,-0.0029408112168312073,-0.0029408144764602184,2.5040857791900635
90003,0.1,4,3.9428725242614746,0.03125469386577606,4.102065086364746,1.022051215171814,-0.0029408144764602184,3.9116177558898926
90003,0.1,16,4.212020397186279,0.07289861887693405,6.581794738769531,1.7613469362258911,-0.0029408144764602184,4.139122009277344
90003,0.1,64,4.219222545623779,0.07849955558776855,9.344590187072754,2.355470895767212,-0.0029408144764602184,4.14072322845459
90003,0.1,256,4.219325542449951,0.06855329871177673,11.48351764678955,2.858572244644165,-0.0029408144764602184,4.1507720947265625
90003,1.0,1,1.6933281421661377,-0.0029408112168312073,1.968938946723938,-0.0029408112168312073,-0.0029408144764602184,1.696268916130066
90003,1.0,4,2.4351696968078613,0.010527175851166248,4.116700649261475,1.022051215171814,-0.0029408144764602184,2.424642562866211
90003,1.0,16,2.5157368183135986,0.029213890433311462,6.602822303771973,1.7613469362258911,-0.0029408144764602184,2.486522912979126
90003,1.0,64,2.5167365074157715,0.0033064752351492643,9.265727996826172,2.355470895767212,-0.0029408144764602184,2.513430118560791
90003,1.0,256,2.5167441368103027,-0.010208720341324806,10.795815467834473,2.858572244644165,-0.0029408144764602184,2.5269527435302734
